项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBTHF02,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLG27TL408314,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA4JC10,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLFL5TL403719,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA3JC13,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLFL4SL223310,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9YJC74,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLFL4SL223307,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9XJC43,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLFL0SL223305,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG3TJJ11,LDJT-2026-014-JZBTH-14504,PPS-202606-1056,已会签,2026-06-17 11:26:44.0,2026-06-23 09:02:57.0,柳汽,LNXKBLG2XTL408467,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260713-0111,2026-07-13 16:11:22.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,5.0,5,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG3RJJ09,LDJT-2026-014-JZBTH-14504,PPS-202606-1056,已会签,2026-06-17 11:26:44.0,2026-06-23 09:02:57.0,柳汽,LNXKBLG28TL408466,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260713-0111,2026-07-13 16:11:22.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,5.0,5,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG3RJJ07,LDJT-2026-014-JZBTH-14504,PPS-202606-1056,已会签,2026-06-17 11:26:44.0,2026-06-23 09:02:57.0,柳汽,LNXKBLG24TL408464,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260713-0111,2026-07-13 16:11:22.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,5.0,5,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG3PJJ14,LDJT-2026-014-JZBTH-14504,PPS-202606-1056,已会签,2026-06-17 11:26:44.0,2026-06-23 09:02:57.0,柳汽,LNXKBLG23TL408472,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260713-0111,2026-07-13 16:11:22.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,5.0,5,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG3PJJ13,LDJT-2026-014-JZBTH-14504,PPS-202606-1056,已会签,2026-06-17 11:26:44.0,2026-06-23 09:02:57.0,柳汽,LNXKBLG23TL408469,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260713-0111,2026-07-13 16:11:22.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,5.0,5,24
