项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
王晓琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFB8HF03,SHQY-2026-014-CZPC-14765,PPS-202606-1244,已会签,2026-06-22 10:22:53.0,2026-06-28 13:57:56.0,陕重汽,LZGJLM445TX023553,长治市鹏昌汽车销售服务有限公司,事业二部三组,PREQ-20260702-0023,2026-07-12 22:38:56.0,待执行,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-28,3.0,3,19
王晓琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBVHF21,SHQY-2026-014-CZPC-14765,PPS-202606-1244,已会签,2026-06-22 10:22:53.0,2026-06-28 13:57:56.0,陕重汽,LZGJLM443SX147142,长治市鹏昌汽车销售服务有限公司,事业二部三组,PREQ-20260702-0023,2026-07-12 22:38:56.0,待执行,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-28,3.0,3,19
王晓琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFARJC09,SHQY-2026-014-CZPC-14765,PPS-202606-1244,已会签,2026-06-22 10:22:53.0,2026-06-28 13:57:56.0,陕重汽,LZGJLM443SX147139,长治市鹏昌汽车销售服务有限公司,事业二部三组,PREQ-20260702-0023,2026-07-12 22:38:56.0,待执行,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-28,3.0,3,19
王晓琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBBHF22,SHQY-2026-014-CZPC-14924,PPS-202606-1491,已会签,2026-06-23 10:07:34.0,2026-07-02 19:34:10.0,陕重汽,LZGJLM447TX023554,长治市鹏昌汽车销售服务有限公司,事业二部三组,PREQ-20260714-0005,2026-07-14 09:13:48.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-07-02,1.0,1,15
王晓琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBXHF16,SHQY-2026-014-CZPC-14938,PPS-202606-1561,已会签,2026-06-23 10:42:40.0,2026-07-02 19:34:19.0,陕重汽,LZGJLM449TX023555,长治市鹏昌汽车销售服务有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-02,1.0,1,15
白昊昊,审批通过,回购中,蒲映超,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBWHF39,SHQY-2026-014-CZPC-15137,PPS-202606-1459,已会签,2026-06-24 16:40:07.0,2026-07-02 19:06:28.0,陕重汽,LZGJLM444TX023561,长治市鹏昌汽车销售服务有限公司,事业二部三组,PREQ-20260715-0027,2026-07-15 09:50:27.0,审批中,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-07-02,1.0,1,15
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB3JJ06,SHQY-2026-014-CZSHY-15122,PPS-202606-1631,已会签,2026-06-24 15:03:23.0,2026-07-02 19:06:17.0,重汽,LUECBFBF7SD480158,长治市鸿元汽车销售服务有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-02,2.0,2,15
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB3JJ03,SHQY-2026-014-CZSHY-15122,PPS-202606-1631,已会签,2026-06-24 15:03:23.0,2026-07-02 19:06:17.0,重汽,LUECBFBF3SD480156,长治市鸿元汽车销售服务有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-02,2.0,2,15
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBPHF54,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC09SR043073,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB5HF15,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC08SR043226,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB5HF14,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC08SR042805,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB4HF16,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC07ST083395,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB1HF07,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC05SR043247,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFAWHF09,SHQY-2026-014-DCWL-08409,PPS-202603-317,已会签,2026-04-22 15:54:00.0,2026-04-28 16:02:47.0,福田,LRDS6PC04SR043076,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-04-28,6.0,6,80
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBPHF53,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC09SR042814,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBPHF49,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC08SR043257,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBNHF05,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC06SR043225,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB6HF40,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC06SR042799,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB5HF28,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC05SR043233,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFAXHF12,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC03SR043246,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFAWHF38,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC02SR043092,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFAWHF18,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC02SR043075,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFAVHF12,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC02SR042802,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
马琛超,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA0HF41,SHQY-2026-014-DCWL-11968,PPS-202605-1480,已会签,2026-05-25 17:03:31.0,2026-06-03 15:45:05.0,福田,LRDS6PC00SR042801,运城市鼎程物流有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-06-03,10.0,10,44
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBCHF30,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM44XTX039201,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBCHF20,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM449TX039254,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBCHF12,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM449TX039240,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBCHF09,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM449TX039237,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBBHF43,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM449TX039206,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBBHF28,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM449SX145511,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFB9HF44,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM447TX039236,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFB9HF18,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM447TX039205,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFCNHF01,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM445TX039204,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBYHF18,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM444TX039209,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBCHF16,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM443TX039203,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBCHF15,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM442TX039239,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBBHF15,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM442TX039208,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBAHF27,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM441TX039202,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB9HF26,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM440TX039255,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB7HF11,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM440TX039238,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB4HF35,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM440TX039210,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
秦凯琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFB3HF17,SHQY-2026-014-DTSYOQC-15314,PPS-202606-1729,已会签,2026-06-26 10:13:22.0,2026-06-30 13:48:22.0,陕重汽,LZGJLM440TX039207,大同市亚欧汽车销售服务有限公司,事业二部一组,PREQ-20260713-0078,2026-07-13 14:14:44.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,18.0,18,17
张旺龙,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFCGJJ63,SHQY-2026-014-GTJFQCXS-13451,PPS-202606-503,已会签,2026-06-08 21:27:50.0,2026-06-17 13:01:50.0,解放,LFWSRXDL4T1F07338,山西国泰解放汽车销售有限公司,事业二部二组,PREQ-20260713-0080,2026-07-13 14:42:36.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-17,2.0,2,30
张旺龙,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFC8JJ44,SHQY-2026-014-GTJFQCXS-13451,PPS-202606-503,已会签,2026-06-08 21:27:50.0,2026-06-17 13:01:50.0,解放,LFWSRXDL0T1F07644,山西国泰解放汽车销售有限公司,事业二部二组,PREQ-20260713-0080,2026-07-13 14:42:36.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-17,2.0,2,30
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBTJJ12,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBFXSD481255,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBPJJ11,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF7SD481729,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ74,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF7SD481018,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBLGC08,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF5SD481017,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBKJJ44,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF3SD481744,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBJJJ52,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF2SD481248,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBHJJ59,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF1SD481743,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBGJJA9,SHQY-2026-014-HDSY-14253,PPS-202606-705,已会签,2026-06-15 18:16:18.0,2026-06-19 21:35:57.0,重汽,LUECBFBF0SD481247,晋城市宏达实业有限公司,事业二部三组,PREQ-20260707-0047,2026-07-07 14:14:31.0,草稿,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-19,8.0,8,28
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD5PBFBNJJ34,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBFXSD481742,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD5PBFBNJJ26,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF9SD481747,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD5PBFBNJJ07,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF7SD481262,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD5PBFBMJJ10,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF7SD481259,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBMJJ73,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF6SD481026,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBMJJ44,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF5SD481731,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBMJJ24,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF4SD481249,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBLGC12,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF4SD481025,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBKJJ43,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF3SD481260,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBJJJ48,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF3SD481257,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
白昊昊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统(CTB400 2.0高功率版),AD0PBFBJJJ29,SHQY-2026-014-HDSY-14565,PPS-202606-848,已会签,2026-06-17 15:40:34.0,2026-07-08 15:26:54.0,重汽,LUECBFBF2SD481735,晋城市宏达实业有限公司,事业二部三组,,,-,,,329400.0,,,,,2026-07-08,14.0,14,9
